Func_id,Func_name,MMB1,MMB2,MSB1,MSB2,Sum
COG1478,Uncharacterized conserved protein,0,1,2,18,21
COG1479,Uncharacterized conserved protein,0,0,0,0,0
COG1480,Predicted membrane-associated HD superfamily hydrolase,0,1,0,3,4
COG1481,Uncharacterized protein conserved in bacteria,0,0,31,0,31
COG1482,Phosphomannose isomerase,1,0,19,3,23
COG1483,Predicted ATPase (AAA+ superfamily),0,0,0,1,1
COG1484,DNA replication protein,0,0,9,5,14
COG1485,Predicted ATPase,0,5,31,0,36
COG1486,"Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases",0,1,0,0,1
COG1487,"Predicted nucleic acid-binding protein, contains PIN domain",0,0,0,0,0
COG1488,Nicotinic acid phosphoribosyltransferase,1,3,25,4,33
COG1489,"DNA-binding protein, stimulates sugar fermentation",0,1,0,0,1
COG1490,D-Tyr-tRNAtyr deacylase,0,1,15,0,16
COG1491,Predicted RNA-binding protein,0,0,1,3,4
COG1492,Cobyric acid synthase,0,1,1,9,11
COG1493,"Serine kinase of the HPr protein, regulates carbohydrate metabolism",0,1,0,4,5
COG1494,"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase and related proteins",0,2,16,3,21
COG1495,Disulfide bond formation protein DsbB,0,1,0,0,1
COG1496,Uncharacterized conserved protein,0,1,16,3,20
COG1497,Predicted transcriptional regulator,0,0,0,0,0
COG1498,"Protein implicated in ribosomal biogenesis, Nop56p homolog",1,0,1,4,6
COG1499,NMD protein affecting ribosome stability and mRNA decay,0,0,0,0,0
COG1500,Predicted exosome subunit,0,0,1,2,3
COG1501,"Alpha-glucosidases, family 31 of glycosyl hydrolases",0,1,0,8,9
COG1502,Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes,3,15,16,17,51
COG1503,Peptide chain release factor 1 (eRF1),0,0,0,4,4
COG1504,Uncharacterized conserved protein,0,0,0,0,0
COG1505,Serine proteases of the peptidase family S9A,10,4,17,8,39
COG1506,Dipeptidyl aminopeptidases/acylaminoacyl-peptidases,12,26,46,24,108
COG1507,Uncharacterized conserved protein,0,0,13,0,13
COG1508,"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog",0,4,0,6,10
COG1509,"Lysine 2,3-aminomutase",0,4,0,3,7
COG1510,Predicted transcriptional regulators,0,0,0,0,0
COG1511,Predicted membrane protein,0,0,23,1,24
COG1512,Beta-propeller domains of methanol dehydrogenase type,0,4,12,4,20
COG1513,Cyanate lyase,0,0,0,0,0
COG1514,2'-5' RNA ligase,0,2,10,4,16
COG1515,Deoxyinosine 3'endonuclease (endonuclease V),0,0,2,2,4
COG1516,Flagellin-specific chaperone FliS,0,1,0,0,1
COG1517,Uncharacterized protein predicted to be involved in DNA repair,0,0,0,0,0
COG1518,Uncharacterized protein predicted to be involved in DNA repair,0,0,0,0,0
COG1519,3-deoxy-D-manno-octulosonic-acid transferase,1,1,0,7,9
COG1520,FOG: WD40-like repeat,0,15,0,10,25
COG1521,"Putative transcriptional regulator, homolog of Bvg accessory factor",1,1,0,2,4
COG1522,Transcriptional regulators,1,10,158,17,186
COG1523,"Type II secretory pathway, pullulanase PulA and related glycosidases",2,3,3,15,23
COG1524,Uncharacterized proteins of the AP superfamily,0,1,11,12,24
COG1525,Micrococcal nuclease (thermonuclease) homologs,0,0,16,0,16
COG1526,Uncharacterized protein required for formate dehydrogenase activity,0,1,18,1,20
COG1527,Archaeal/vacuolar-type H+-ATPase subunit C,0,0,0,3,3
COG1528,Ferritin-like protein,0,0,16,3,19
COG1529,"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",15,25,0,74,114
COG1530,Ribonucleases G and E,0,8,24,14,46
COG1531,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1532,Predicted RNA-binding protein,0,0,0,0,0
COG1533,DNA repair photolyase,0,1,2,4,7
COG1534,"Predicted RNA-binding protein containing KH domain, possibly ribosomal protein",0,0,0,0,0
COG1535,Isochorismate hydrolase,1,0,0,0,1
COG1536,Flagellar motor switch protein,0,1,0,0,1
COG1537,Predicted RNA-binding proteins,0,0,0,4,4
COG1538,Outer membrane protein,1,27,0,12,40
COG1539,Dihydroneopterin aldolase,0,2,1,2,5
COG1540,"Uncharacterized proteins, homologs of lactam utilization protein B",0,0,16,4,20
COG1541,Coenzyme F390 synthetase,0,6,16,1,23
COG1542,Uncharacterized conserved protein,0,0,0,0,0
COG1543,Uncharacterized conserved protein,0,0,1,4,5
COG1544,Ribosome-associated protein Y (PSrp-1),0,1,16,3,20
COG1545,Predicted nucleic-acid-binding protein containing a Zn-ribbon,0,0,0,3,3
COG1546,Uncharacterized protein (competence- and mitomycin-induced),0,4,18,6,28
COG1547,Uncharacterized conserved protein,0,0,0,0,0
COG1548,Predicted transcriptional regulator/sugar kinase,0,1,0,0,1
COG1549,"Queuine tRNA-ribosyltransferases, contain PUA domain",0,0,0,0,0
COG1550,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1551,Carbon storage regulator (could also regulate swarming and quorum sensing),0,4,0,1,5
COG1552,Ribosomal protein L40E,0,0,0,0,0
COG1553,Uncharacterized conserved protein involved in intracellular sulfur reduction,0,0,0,0,0
COG1554,Trehalose and maltose hydrolases (possible phosphorylases),0,0,16,3,19
COG1555,DNA uptake protein and related DNA-binding proteins,0,1,15,1,17
COG1556,Uncharacterized conserved protein,0,1,15,1,17
COG1558,Flagellar basal body rod protein,0,1,0,0,1
COG1559,Predicted periplasmic solute-binding protein,0,2,31,3,36
COG1560,Lauroyl/myristoyl acyltransferase,1,3,0,17,21
COG1561,Uncharacterized stress-induced protein,3,2,2,5,12
COG1562,Phytoene/squalene synthetase,2,1,16,2,21
COG1563,Predicted subunit of the Multisubunit Na+/H+ antiporter,0,0,0,0,0
COG1564,Thiamine pyrophosphokinase,0,0,0,0,0
COG1565,Uncharacterized conserved protein,1,1,0,3,5
COG1566,Multidrug resistance efflux pump,3,28,1,30,62
COG1567,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily),0,0,0,0,0
COG1568,Predicted methyltransferases,0,0,0,0,0
COG1569,"Predicted nucleic acid-binding protein, contains PIN domain",0,0,0,0,0
COG1570,"Exonuclease VII, large subunit",0,2,30,4,36
COG1571,Predicted DNA-binding protein containing a Zn-ribbon domain,0,0,0,2,2
COG1572,Uncharacterized conserved protein,0,0,0,0,0
COG1573,Uracil-DNA glycosylase,2,4,0,14,20
COG1574,Predicted metal-dependent hydrolase with the TIM-barrel fold,1,10,23,14,48
COG1575,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",0,0,17,1,18
COG1576,Uncharacterized conserved protein,0,2,15,1,18
COG1577,Mevalonate kinase,0,0,0,3,3
COG1578,Uncharacterized conserved protein,0,0,0,0,0
COG1579,"Zn-ribbon protein, possibly nucleic acid-binding",0,0,0,2,2
COG1580,Flagellar basal body-associated protein,0,2,0,0,2
COG1581,Archaeal DNA-binding protein,0,0,1,2,3
COG1582,"Uncharacterized protein, possibly involved in motility",0,0,0,0,0
COG1583,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily),0,0,0,0,0
COG1584,Predicted membrane protein,0,1,0,2,3
COG1585,Membrane protein implicated in regulation of membrane protease activity,0,0,5,0,5
COG1586,S-adenosylmethionine decarboxylase,0,3,0,0,3
COG1587,Uroporphyrinogen-III synthase,0,4,17,11,32
COG1588,RNase P/RNase MRP subunit p29,0,0,0,1,1
COG1589,Cell division septal protein,0,1,13,2,16
COG1590,Uncharacterized conserved protein,0,0,0,0,0
COG1591,Holliday junction resolvase - archaeal type,0,1,0,1,2
COG1592,Rubrerythrin,0,0,0,1,1
COG1593,"TRAP-type C4-dicarboxylate transport system, large permease component",0,2,41,12,55
COG1594,"DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS",0,0,0,1,1
COG1595,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",4,40,111,56,211
COG1596,Periplasmic protein involved in polysaccharide export,0,4,0,14,18
COG1597,Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,1,6,24,19,50
COG1598,Uncharacterized conserved protein,0,3,0,0,3
COG1599,"Single-stranded DNA-binding replication protein A (RPA), large (70 kD) subunit and related ssDNA-binding proteins",0,0,0,1,1
COG1600,Uncharacterized Fe-S protein,0,3,0,7,10
COG1601,"Translation initiation factor 2, beta subunit (eIF-2beta)/eIF-5 N-terminal domain",0,0,0,2,2
COG1602,Uncharacterized conserved protein,0,0,0,3,3
COG1603,RNase P/RNase MRP subunit p30,0,0,0,0,0
COG1604,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily),0,0,0,0,0
COG1605,Chorismate mutase,0,1,16,0,17
COG1606,ATP-utilizing enzymes of the PP-loop superfamily,1,0,0,6,7
COG1607,Acyl-CoA hydrolase,0,3,25,4,32
COG1608,Predicted archaeal kinase,0,1,1,2,4
COG1609,Transcriptional regulators,0,9,156,10,175
COG1610,Uncharacterized conserved protein,0,0,27,3,30
COG1611,Predicted Rossmann fold nucleotide-binding protein,0,6,28,9,43
COG1612,Uncharacterized protein required for cytochrome oxidase assembly,0,1,19,7,27
COG1613,"ABC-type sulfate transport system, periplasmic component",0,5,0,0,5
COG1614,CO dehydrogenase/acetyl-CoA synthase beta subunit,0,0,0,0,0
COG1615,Uncharacterized conserved protein,0,7,14,9,30
COG1617,Uncharacterized conserved protein,0,0,0,0,0
COG1618,Predicted nucleotide kinase,0,0,0,1,1
COG1619,"Uncharacterized proteins, homologs of microcin C7 resistance protein MccF",2,1,27,3,33
COG1620,L-lactate permease,0,4,27,1,32
COG1621,Beta-fructosidases (levanase/invertase),0,0,28,1,29
COG1622,"Heme/copper-type cytochrome/quinol oxidases, subunit 2",2,11,15,12,40
COG1623,Predicted nucleic-acid-binding protein (contains the HHH domain),0,0,15,2,17
COG1624,Uncharacterized conserved protein,1,1,0,6,8
COG1625,"Fe-S oxidoreductase, related to NifB/MoaA family",0,0,0,0,0
COG1626,Neutral trehalase,0,2,0,1,3
COG1627,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1628,Uncharacterized conserved protein,0,0,0,1,1
COG1629,"Outer membrane receptor proteins, mostly Fe transport",0,3,0,2,5
COG1630,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1631,Ribosomal protein L44E,0,0,0,2,2
COG1632,Ribosomal protein L15E,0,0,0,2,2
COG1633,Uncharacterized conserved protein,0,0,0,1,1
COG1634,Uncharacterized Rossmann fold enzyme,0,0,0,2,2
COG1635,Flavoprotein involved in thiazole biosynthesis,0,0,2,3,5
COG1636,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1637,Predicted nuclease of the RecB family,0,0,12,0,12
COG1638,"TRAP-type C4-dicarboxylate transport system, periplasmic component",2,4,35,9,50
COG1639,Predicted signal transduction protein,0,4,0,0,4
COG1640,4-alpha-glucanotransferase,0,2,0,9,11
COG1641,Uncharacterized conserved protein,0,1,1,4,6
COG1643,HrpA-like helicases,0,4,41,2,47
COG1644,"DNA-directed RNA polymerase, subunit N (RpoN/RPB10)",0,0,0,1,1
COG1645,Uncharacterized Zn-finger containing protein,0,0,0,0,0
COG1646,"Predicted phosphate-binding enzymes, TIM-barrel fold",0,0,0,3,3
COG1647,Esterase/lipase,0,0,16,0,16
COG1648,Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain),0,1,0,2,3
COG1649,Uncharacterized protein conserved in bacteria,1,0,0,2,3
COG1650,Uncharacterized protein conserved in archaea,0,0,0,2,2
COG1651,Protein-disulfide isomerase,0,4,17,8,29
COG1652,Uncharacterized protein containing LysM domain,0,3,0,0,3
COG1653,"ABC-type sugar transport system, periplasmic component",1,3,31,11,46
COG1654,Biotin operon repressor,0,0,0,0,0
COG1655,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1656,Uncharacterized conserved protein,0,1,0,2,3
COG1657,Squalene cyclase,0,1,0,6,7
COG1658,Small primase-like proteins (Toprim domain),0,0,0,0,0
COG1659,"Uncharacterized protein, linocin/CFP29 homolog",0,0,0,0,0
COG1660,Predicted P-loop-containing kinase,0,3,19,3,25
COG1661,Predicted DNA-binding protein with PD1-like DNA-binding motif,1,0,0,0,1
COG1662,"Transposase and inactivated derivatives, IS1 family",0,0,1,6,7
COG1663,Tetraacyldisaccharide-1-P 4'-kinase,0,2,0,2,4
COG1664,Integral membrane protein CcmA involved in cell shape determination,0,1,0,6,7
COG1665,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1666,Uncharacterized protein conserved in bacteria,0,1,13,4,18
COG1667,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1668,"ABC-type Na+ efflux pump, permease component",0,1,16,4,21
COG1669,Predicted nucleotidyltransferases,0,1,0,1,2
COG1670,"Acetyltransferases, including N-acetylases of ribosomal proteins",2,5,182,11,200
COG1671,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1672,Predicted ATPase (AAA+ superfamily),0,0,0,0,0
COG1673,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1674,DNA segregation ATPase FtsK/SpoIIIE and related proteins,1,7,61,14,83
COG1675,"Transcription initiation factor IIE, alpha subunit",0,0,0,2,2
COG1676,tRNA splicing endonuclease,0,0,0,4,4
COG1677,Flagellar hook-basal body protein,0,0,0,0,0
COG1678,Putative transcriptional regulator,0,2,0,2,4
COG1679,Uncharacterized conserved protein,0,2,1,3,6
COG1680,Beta-lactamase class C and other penicillin binding proteins,6,9,50,36,101
COG1681,Archaeal flagellins,0,0,0,0,0
COG1682,"ABC-type polysaccharide/polyol phosphate export systems, permease component",0,4,16,5,25
COG1683,Uncharacterized conserved protein,0,3,0,1,4
COG1684,"Flagellar biosynthesis pathway, component FliR",0,1,0,0,1
COG1685,Archaeal shikimate kinase,0,0,0,2,2
COG1686,D-alanyl-D-alanine carboxypeptidase,0,4,1,5,10
COG1687,Predicted branched-chain amino acid permeases (azaleucine resistance),0,0,0,0,0
COG1688,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily),0,0,0,0,0
COG1689,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1690,Uncharacterized conserved protein,0,3,4,8,15
COG1691,NCAIR mutase (PurE)-related proteins,0,0,2,2,4
COG1692,Uncharacterized protein conserved in bacteria,0,1,0,3,4
COG1693,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1694,Predicted pyrophosphatase,0,1,0,0,1
COG1695,Predicted transcriptional regulators,4,7,78,11,100
COG1696,Predicted membrane protein involved in D-alanine export,0,2,0,6,8
COG1697,"DNA topoisomerase VI, subunit A",0,0,0,2,2
COG1698,Uncharacterized protein conserved in archaea,0,0,0,1,1
COG1699,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1700,Uncharacterized conserved protein,0,0,0,0,0
COG1701,Uncharacterized protein conserved in archaea,0,0,1,2,3
COG1702,"Phosphate starvation-inducible protein PhoH, predicted ATPase",0,2,15,2,19
COG1703,Putative periplasmic protein kinase ArgK and related GTPases of G3E family,0,1,0,5,6
COG1704,Uncharacterized conserved protein,3,3,0,8,14
COG1705,Muramidase (flagellum-specific),0,1,0,0,1
COG1706,Flagellar basal-body P-ring protein,0,2,0,0,2
COG1707,ACT domain-containing protein,0,0,0,0,0
COG1708,Predicted nucleotidyltransferases,0,0,0,0,0
COG1709,Predicted transcriptional regulator,0,0,0,0,0
COG1710,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1711,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1712,Predicted dinucleotide-utilizing enzyme,0,0,1,2,3
COG1713,Predicted HD superfamily hydrolase involved in NAD metabolism,0,0,0,0,0
COG1714,Predicted membrane protein/domain,0,0,0,0,0
COG1715,Restriction endonuclease,0,1,0,0,1
COG1716,FOG: FHA domain,0,3,41,4,48
COG1717,Ribosomal protein L32E,0,0,0,1,1
COG1718,Serine/threonine protein kinase involved in cell cycle control,0,1,18,1,20
COG1719,Predicted hydrocarbon binding protein (contains V4R domain),0,0,0,0,0
COG1720,Uncharacterized conserved protein,0,0,0,1,1
COG1721,Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain),0,4,9,5,18
COG1722,Exonuclease VII small subunit,0,1,13,0,14
COG1723,Uncharacterized conserved protein,0,0,0,0,0
COG1724,Predicted periplasmic or secreted lipoprotein,0,1,0,0,1
COG1725,Predicted transcriptional regulators,1,0,60,2,63
COG1726,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA",0,0,0,0,0
COG1727,Ribosomal protein L18E,0,0,0,1,1
COG1728,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1729,Uncharacterized protein conserved in bacteria,0,3,0,4,7
COG1730,"Predicted prefoldin, molecular chaperone implicated in de novo protein folding",0,0,0,2,2
COG1731,Archaeal riboflavin synthase,0,0,0,0,0
COG1732,Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein),0,5,52,2,59
COG1733,Predicted transcriptional regulators,1,7,21,10,39
COG1734,DnaK suppressor protein,0,5,0,5,10
COG1735,Predicted metal-dependent hydrolase with the TIM-barrel fold,0,0,10,3,13
COG1736,Diphthamide synthase subunit DPH2,0,0,1,2,3
COG1737,Transcriptional regulators,0,7,0,1,8
COG1738,Uncharacterized conserved protein,0,0,13,1,14
COG1739,Uncharacterized conserved protein,0,0,20,0,20
COG1740,"Ni,Fe-hydrogenase I small subunit",0,0,0,1,1
COG1741,Pirin-related protein,0,8,11,7,26
COG1742,Uncharacterized conserved protein,0,1,0,2,3
COG1743,Adenine-specific DNA methylase containing a Zn-ribbon,0,0,0,0,0
COG1744,"Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein",0,3,19,7,29
COG1745,Predicted metal-binding protein,0,0,0,0,0
COG1746,tRNA nucleotidyltransferase (CCA-adding enzyme),0,0,0,3,3
COG1747,Uncharacterized N-terminal domain of the transcription elongation factor GreA,0,0,0,1,1
COG1748,Saccharopine dehydrogenase and related proteins,0,2,0,0,2
COG1749,Flagellar hook protein FlgE,0,1,0,0,1
COG1750,Archaeal serine proteases,0,0,0,0,0
COG1751,Uncharacterized conserved protein,0,0,0,0,0
COG1752,Predicted esterase of the alpha-beta hydrolase superfamily,0,4,0,7,11
COG1753,Uncharacterized conserved protein,0,0,0,0,0
COG1754,Uncharacterized C-terminal domain of topoisomerase IA,0,0,3,3,6
COG1755,Uncharacterized protein conserved in bacteria,0,0,0,0,0
COG1756,Uncharacterized conserved protein,0,0,0,1,1
COG1757,Na+/H+ antiporter,0,0,0,0,0
COG1758,"DNA-directed RNA polymerase, subunit K/omega",0,1,13,2,16
COG1759,ATP-utilizing enzymes of ATP-grasp superfamily (probably carboligases),0,0,2,7,9
COG1760,L-serine deaminase,2,4,24,1,31
COG1761,"DNA-directed RNA polymerase, subunit L",0,0,0,0,0
COG1762,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),0,1,8,5,14
COG1763,Molybdopterin-guanine dinucleotide biosynthesis protein,0,0,0,0,0
COG1764,"Predicted redox protein, regulator of disulfide bond formation",0,2,27,6,35
COG1765,"Predicted redox protein, regulator of disulfide bond formation",0,1,13,4,18
COG1766,Flagellar biosynthesis/type III secretory pathway lipoprotein,0,2,0,1,3
COG1767,Triphosphoribosyl-dephospho-CoA synthetase,0,0,0,0,0
COG1768,Predicted phosphohydrolase,0,0,0,0,0
COG1769,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily),0,0,0,0,0
COG1770,Protease II,0,14,36,6,56
COG1771,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1772,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1773,Rubredoxin,0,1,0,0,1
COG1774,Uncharacterized homolog of PSP1,0,0,0,0,0
COG1775,"Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB",0,0,0,0,0
COG1776,"Chemotaxis protein CheC, inhibitor of MCP methylation",0,0,0,0,0
COG1777,Predicted transcriptional regulators,0,0,0,0,0
COG1778,Low specificity phosphatase (HAD superfamily),0,2,3,2,7
COG1779,C4-type Zn-finger protein,0,0,0,0,0
COG1780,Protein involved in ribonucleotide reduction,0,0,17,0,17
COG1781,"Aspartate carbamoyltransferase, regulatory subunit",0,0,0,2,2
COG1782,"Predicted metal-dependent RNase, consists of a metallo-beta-lactamase domain and an RNA-binding KH domain",0,1,7,10,18
COG1783,Phage terminase large subunit,0,3,4,1,8
COG1784,Predicted membrane protein,0,0,0,0,0
COG1785,Alkaline phosphatase,0,1,0,4,5
COG1786,Uncharacterized conserved protein,0,3,0,2,5
COG1787,Predicted endonuclease distantly related to archaeal Holliday junction resolvase and Mrr-like restriction enzymes,0,1,0,0,1
COG1788,"Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit",0,2,44,16,62
COG1790,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1791,"Uncharacterized conserved protein, contains double-stranded beta-helix domain",0,1,0,0,1
COG1792,Cell shape-determining protein,0,1,0,1,2
COG1793,ATP-dependent DNA ligase,0,11,3,20,34
COG1794,Aspartate racemase,0,2,0,3,5
COG1795,Uncharacterized conserved protein,0,0,0,2,2
COG1796,DNA polymerase IV (family X),0,3,0,18,21
COG1797,"Cobyrinic acid a,c-diamide synthase",0,1,0,1,2
COG1798,Diphthamide biosynthesis methyltransferase,0,0,1,2,3
COG1799,Uncharacterized protein conserved in bacteria,0,0,15,0,15
COG1800,Predicted transglutaminase-like proteases,0,0,0,0,0
COG1801,Uncharacterized conserved protein,1,3,0,25,29
COG1802,Transcriptional regulators,0,9,157,4,170
COG1803,Methylglyoxal synthase,7,1,0,1,9
COG1804,Predicted acyl-CoA transferases/carnitine dehydratase,7,15,113,29,164
COG1805,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB",0,0,0,0,0
COG1806,Uncharacterized protein conserved in bacteria,0,1,0,2,3
COG1807,4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family,0,8,0,5,13
COG1808,Predicted membrane protein,0,0,0,0,0
COG1809,Uncharacterized conserved protein,8,0,0,2,10
COG1810,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1811,"Uncharacterized membrane protein, possible Na+ channel or pump",0,0,0,0,0
COG1812,Archaeal S-adenosylmethionine synthetase,0,0,0,0,0
COG1813,"Predicted transcription factor, homolog of eukaryotic MBF1",1,1,0,1,3
COG1814,Uncharacterized membrane protein,0,4,29,3,36
COG1815,Flagellar basal body protein,0,1,0,0,1
COG1816,Adenosine deaminase,0,2,29,2,33
COG1817,Uncharacterized protein conserved in archaea,0,2,0,3,5
COG1818,"Predicted RNA-binding protein, contains THUMP domain",0,0,0,2,2
COG1819,"Glycosyl transferases, related to UDP-glucuronosyltransferase",0,5,17,6,28
COG1820,N-acetylglucosamine-6-phosphate deacetylase,2,4,14,15,35
COG1821,Predicted ATP-utilizing enzyme (ATP-grasp superfamily),0,0,0,0,0
COG1822,Predicted archaeal membrane protein,0,0,0,0,0
COG1823,Predicted Na+/dicarboxylate symporter,0,2,0,0,2
COG1824,"Permease, similar to cation transporters",0,0,0,0,0
COG1825,Ribosomal protein L25 (general stress protein Ctc),1,1,14,4,20
COG1826,Sec-independent protein secretion pathway components,1,1,41,8,51
COG1827,Predicted small molecule binding protein (contains 3H domain),0,0,0,0,0
COG1828,"Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component",0,2,15,2,19
COG1829,Predicted archaeal kinase (sugar kinase superfamily),0,0,0,1,1
COG1830,"DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes",0,0,3,8,11
COG1831,Predicted metal-dependent hydrolase (urease superfamily),0,0,0,0,0
COG1832,Predicted CoA-binding protein,0,0,31,5,36
COG1833,Uncharacterized conserved protein,0,0,0,0,0
COG1834,N-Dimethylarginine dimethylaminohydrolase,0,3,0,2,5
COG1835,Predicted acyltransferases,0,1,73,2,76
COG1836,Predicted membrane protein,0,0,0,0,0
COG1837,Predicted RNA-binding protein (contains KH domain),0,1,13,0,14
COG1838,"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain",0,1,4,4,9
COG1839,Uncharacterized conserved protein,0,2,0,11,13
COG1840,"ABC-type Fe3+ transport system, periplasmic component",3,8,15,24,50
COG1841,Ribosomal protein L30/L7E,1,1,16,3,21
COG1842,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription",3,0,14,1,18
COG1843,Flagellar hook capping protein,0,1,0,0,1
COG1844,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1845,"Heme/copper-type cytochrome/quinol oxidase, subunit 3",3,8,16,5,32
COG1846,Transcriptional regulators,0,2,223,9,234
COG1847,Predicted RNA-binding protein,5,0,14,1,20
COG1848,"Predicted nucleic acid-binding protein, contains PIN domain",0,0,0,0,0
COG1849,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1850,"Ribulose 1,5-bisphosphate carboxylase, large subunit",0,0,3,1,4
COG1851,Uncharacterized conserved protein,0,0,0,0,0
COG1852,Uncharacterized conserved protein,0,0,0,1,1
COG1853,"Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family",0,2,55,4,61
COG1854,LuxS protein involved in autoinducer AI2 synthesis,0,0,15,1,16
COG1855,ATPase (PilT family),0,0,2,5,7
COG1856,Uncharacterized homolog of biotin synthetase,0,0,0,0,0
COG1857,Uncharacterized protein predicted to be involved in DNA repair,0,0,0,0,0
COG1858,Cytochrome c peroxidase,0,2,0,3,5
COG1859,RNA:NAD 2'-phosphotransferase,0,0,0,1,1
COG1860,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1861,"Spore coat polysaccharide biosynthesis protein F, CMP-KDO synthetase homolog",0,0,0,0,0
COG1862,Preprotein translocase subunit YajC,0,0,14,1,15
COG1863,"Multisubunit Na+/H+ antiporter, MnhE subunit",0,1,14,0,15
COG1864,"DNA/RNA endonuclease G, NUC1",0,3,1,2,6
COG1865,Uncharacterized conserved protein,0,0,0,0,0
COG1866,Phosphoenolpyruvate carboxykinase (ATP),0,6,5,15,26
COG1867,"N2,N2-dimethylguanosine tRNA methyltransferase",0,0,1,4,5
COG1868,Flagellar motor switch protein,0,2,0,2,4
COG1869,"ABC-type ribose transport system, auxiliary component",0,5,15,0,20
COG1871,Chemotaxis protein; stimulates methylation of MCP proteins,0,0,0,0,0
COG1872,Uncharacterized conserved protein,0,2,0,0,2
COG1873,Uncharacterized conserved protein,0,0,0,2,2
COG1874,Beta-galactosidase,0,0,0,2,2
COG1875,Predicted ATPase related to phosphate starvation-inducible protein PhoH,0,3,19,0,22
COG1876,D-alanyl-D-alanine carboxypeptidase,0,0,29,1,30
COG1877,Trehalose-6-phosphatase,0,0,15,1,16
COG1878,Predicted metal-dependent hydrolase,4,2,14,8,28
COG1879,"ABC-type sugar transport system, periplasmic component",0,9,59,13,81
COG1880,CO dehydrogenase/acetyl-CoA synthase epsilon subunit,0,0,0,0,0
COG1881,Phospholipid-binding protein,1,1,0,3,5
COG1882,Pyruvate-formate lyase,1,0,0,4,5
COG1883,"Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit",0,0,0,0,0
COG1884,"Methylmalonyl-CoA mutase, N-terminal domain/subunit",1,4,0,8,13
COG1885,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1886,Flagellar motor switch/type III secretory pathway protein,0,1,0,0,1
COG1887,Putative glycosyl/glycerophosphate transferases involved in teichoic acid biosynthesis TagF/TagB/EpsJ/RodC,0,0,53,1,54
COG1888,Uncharacterized protein conserved in archaea,0,0,0,0,0
COG1889,Fibrillarin-like rRNA methylase,0,0,2,2,4
COG1890,Ribosomal protein S3AE,0,0,0,2,2
